id,rewritten_query
3,"WITH base AS ( SELECT e.SAL AS emp_sal, b.COMM, b.SAL AS bonus_sal, b.JOB FROM EMP e INNER JOIN BONUS b ON e.ENAME = b.ENAME WHERE e.DEPTNO = 10 ), agg AS ( SELECT JOB, SUM(2 * bonus_sal + 100) AS total FROM base GROUP BY JOB ) SELECT base.emp_sal + base.COMM, agg.total FROM base JOIN agg ON base.JOB = agg.JOB"
4,SELECT NAME FROM DEPT WHERE DEPTNO IN (SELECT 2 * DEPTNO FROM DEPT)
5,"SELECT UPPER(X) AS U, SUBSTRING(X FROM 1 FOR 1) AS S FROM (VALUES ('table'), ('view'), ('foreign table')) AS t(X) WHERE UPPER(X) = 'TABLE'"
6,SELECT DISTINCT E.ENAME FROM EMP E WHERE EXISTS ( SELECT 1 FROM EMP A WHERE A.ENAME = 'A' AND A.JOB = E.JOB )
7,"SELECT t2.EMPNO, t2.ENAME, t2.JOB, t2.MGR, t2.HIREDATE, t2.SAL, t2.COMM, t2.DEPTNO, t2.SLACKER, t3.DEPTNO AS DEPTNO0, t3.NAME FROM ( SELECT EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO, SLACKER FROM EMP ORDER BY SAL FETCH FIRST 10 ROWS ONLY ) t2 INNER JOIN DEPT t3 ON t2.DEPTNO = t3.DEPTNO ORDER BY t2.SAL"
8,SELECT * FROM EMP JOIN DEPT AS DEPT0 ON EMP.DEPTNO = DEPT0.DEPTNO WHERE EMP.DEPTNO = EMP.EMPNO;
12,SELECT DISTINCT d.NAME FROM (SELECT DISTINCT JOB FROM EMP WHERE ENAME = 'A') e LEFT JOIN (SELECT DISTINCT NAME FROM DEPT) d ON e.JOB = d.NAME;
13,SELECT DISTINCT d.NAME FROM EMP e LEFT JOIN DEPT d ON e.JOB = d.NAME AND (e.DEPTNO + e.EMPNO) = (d.DEPTNO + 5) WHERE e.ENAME = 'A';
14,"WITH t6 AS ( SELECT JOB, DEPTNO + EMPNO AS f9 FROM EMP WHERE ENAME = 'A' GROUP BY JOB, DEPTNO + EMPNO ) SELECT t6.JOB, t8.NAME FROM t6 LEFT JOIN ( SELECT NAME, DEPTNO + 5 AS f2 FROM DEPT WHERE NAME IN (SELECT JOB FROM t6) GROUP BY NAME, DEPTNO + 5 ) t8 ON t6.JOB = t8.NAME AND t6.f9 = t8.f2 GROUP BY t6.JOB, t8.NAME"
16,"SELECT DEPTNO, NAME FROM DEPT WHERE EXISTS (SELECT 1 FROM EMP WHERE EMP.DEPTNO = DEPT.DEPTNO) ORDER BY DEPTNO OFFSET 2 ROWS FETCH NEXT 10 ROWS ONLY;"
17,"SELECT e.SAL + b.COMM, SUM(2 * b.SAL + 100) OVER (PARTITION BY b.JOB) FROM EMP e INNER JOIN BONUS b ON e.ENAME = b.ENAME WHERE e.DEPTNO = 10"
19,SELECT EMP0.ENAME FROM (SELECT DISTINCT JOB FROM EMP WHERE ENAME = 'A') AS t0 LEFT JOIN EMP AS EMP0 ON t0.JOB = EMP0.JOB GROUP BY EMP0.ENAME;
20,SELECT JOB FROM EMP WHERE ENAME = 'A' GROUP BY JOB
21,SELECT SAL FROM EMPNULLABLES WHERE DEPTNO = 20 AND SAL > 1000
22,"SELECT SUM(CAST(f1 * SAL AS INTEGER)) FROM ( SELECT SAL, COUNT(*) AS f1 FROM EMP GROUP BY SAL ) AS t;"
24,"SELECT DEPT.DEPTNO, DEPT.NAME FROM DEPT INNER JOIN ( SELECT DEPTNO FROM EMP WHERE DEPTNO <= 10 GROUP BY DEPTNO ) AS t0 ON DEPT.DEPTNO = t0.DEPTNO;"
25,SELECT e.SAL + b.COMM FROM emp e JOIN bonus b ON e.ENAME = b.ENAME WHERE e.DEPTNO = 10;
26,WITH jobs AS ( SELECT JOB FROM EMP WHERE ENAME = 'A' GROUP BY JOB ) SELECT JOB FROM jobs UNION SELECT NULL WHERE EXISTS ( SELECT 1 FROM DEPT d LEFT JOIN jobs j ON d.NAME = j.JOB WHERE j.JOB IS NULL )
28,"SELECT ENAME, SAL, DEPTNO FROM EMP WHERE SAL > 5000 GROUP BY ROLLUP(ENAME, SAL, DEPTNO)"
29,"SELECT t6.JOB FROM ( SELECT JOB, DEPTNO + EMPNO AS f9 FROM EMP WHERE ENAME = 'A' GROUP BY JOB, DEPTNO + EMPNO ) AS t6 FULL JOIN ( SELECT NAME, DEPTNO + 5 AS f2 FROM DEPT ) AS t8 ON t6.JOB = t8.NAME AND t6.f9 = t8.f2 GROUP BY t6.JOB"
33,"WITH filtered_emp AS ( SELECT JOB, SUM(SAL) AS EXPR1 FROM EMP WHERE ENAME = 'A' GROUP BY JOB ) SELECT fe.JOB, CAST(fe.EXPR1 * t7.f1 AS INTEGER) FROM filtered_emp fe INNER JOIN ( SELECT NAME, COUNT(*) AS f1 FROM DEPT WHERE NAME IN (SELECT JOB FROM filtered_emp) GROUP BY NAME ) AS t7 ON fe.JOB = t7.NAME;"
34,"SELECT NAME, CAST(COUNT(*) AS BIGINT), CAST(SUM(DEPTNO) AS INTEGER) FROM DEPT GROUP BY NAME;"
36,SELECT JOB FROM EMP WHERE ENAME = 'A' GROUP BY JOB
37,SELECT SAL FROM EMPNULLABLES WHERE DEPTNO = 20 AND SAL > 1000
38,"WITH dept_less_4 AS ( SELECT DEPTNO FROM EMP WHERE DEPTNO < 4 ) SELECT t7.DEPTNO, t12.DEPTNO FROM dept_less_4 t7 JOIN dept_less_4 t12 ON t7.DEPTNO = t12.DEPTNO"
39,"WITH counts AS ( SELECT COUNT(*) AS cnt FROM EMP WHERE DEPTNO = 0 ) SELECT counts.cnt, t.T2 FROM (VALUES (1), (2)) AS t(T2) CROSS JOIN counts;"
40,SELECT d.NAME FROM DEPT d INNER JOIN ( SELECT DISTINCT DEPTNO FROM EMP WHERE SAL = DEPTNO - 11 ) e ON d.DEPTNO = e.DEPTNO
43,"SELECT NAME, DEPTNO AS DDEPTNO, COUNT(*) AS C FROM DEPT WHERE NAME = 'Charlie' GROUP BY GROUPING SETS ((NAME, DEPTNO), (NAME));"
44,"SELECT NAME AS NAME, DEPTNO AS DDEPTNO, COUNT(*) AS C FROM DEPT WHERE NAME = 'Charlie' GROUP BY GROUPING SETS((NAME, DEPTNO), NAME)"
47,"SELECT e.*, t.* FROM (SELECT * FROM EMP ORDER BY SAL FETCH FIRST 10 ROWS ONLY) e LEFT JOIN DEPT t ON e.DEPTNO = t.DEPTNO ORDER BY e.SAL;"
49,SELECT * FROM emp e1 WHERE e1.empno > (SELECT MIN(deptno) FROM dept);
50,"SELECT DISTINCT mgr, mgr FROM emp;"
51,"select name as dname, deptno as ddeptno, count(*) as c from dept where name = 'Charlie' group by grouping sets ((name, deptno), (name));"
53,"WITH deptno_set AS ( SELECT deptno FROM emp WHERE empno < 20 ) SELECT e.empno, e.deptno IN (SELECT deptno FROM deptno_set) AS d FROM emp AS e;"
58,"SELECT COALESCE(SUM(count_comm), 0) FROM ( SELECT count(comm) as count_comm FROM emp GROUP BY deptno, mgr ) t"
